image_base=0x400000  type_descriptors=389  COLs=442  vtables=392
vtable_va,col_va,base_offset,class,mangled
0x0099194C,0x009BBA04,0,CAurBehaviorAttachRotate,.?AVCAurBehaviorAttachRotate@@
0x00991914,0x009BB9B4,0,CAurBehaviorAttachTranslate,.?AVCAurBehaviorAttachTranslate@@
0x009919FC,0x009BBAA4,0,CAurBehaviorCameraFollow,.?AVCAurBehaviorCameraFollow@@
0x0098C4F4,0x009BB140,0,CAurCamera,.?AVCAurCamera@@
0x0098C1F4,0x009BB090,0,CAurGUIDraw,.?AVCAurGUIDraw@@
0x0098C228,0x009BB0A4,0,CAurGUIImage,.?AVCAurGUIImage@@
0x0098C1FC,0x009BB0F0,0,CAurGUIImageInternal,.?AVCAurGUIImageInternal@@
0x0098C154,0x009BAFC0,0,CAurGUIString,.?AVCAurGUIString@@
0x0098C0CC,0x009BB040,0,CAurGUIStringInternal,.?AVCAurGUIStringInternal@@
0x0098BF50,0x009BAF24,0,CAurInternal,.?AVCAurInternal@@
0x0098BFB0,0x009BAF70,0,CAurInternalGL,.?AVCAurInternalGL@@
0x0098B7AC,0x009BAAAC,0,CAurObject,.?AVCAurObject@@
0x0098B960,0x009BABE0,0,CAurObjectLightContainer,.?AVCAurObjectLightContainer@@
0x0098B3EC,0x009BA9D0,0,CAurPart,.?AVCAurPart@@
0x0098B958,0x009BAB98,0,CAurPathInfo,.?AVCAurPathInfo@@
0x0098BC7C,0x009BAC28,0,CAurScene,.?AVCAurScene@@
0x00987FCC,0x009BA368,0,CAurTexture,.?AVCAurTexture@@
0x00988094,0x009BA404,0,CAurTextureBasic,.?AVCAurTextureBasic@@
0x0098BF84,0x009BAEDC,0,CAurora,.?AVCAurora@@
0x009B95E8,0x009C0C44,0,CAurora16BitTexture,.?AVCAurora16BitTexture@@
0x009B9578,0x009C0838,0,CAuroraCompressedTexture,.?AVCAuroraCompressedTexture@@
0x009B9588,0x009C08CC,0,CAuroraLayeredTexture,.?AVCAuroraLayeredTexture@@
0x009B9568,0x009C07A4,0,CAuroraModel,.?AVCAuroraModel@@
0x009B95D8,0x009C0BB0,0,CAuroraModelX,.?AVCAuroraModelX@@
0x009B95A8,0x009C09F4,0,CAuroraProcessedTexture,.?AVCAuroraProcessedTexture@@
0x009B95C8,0x009C0B1C,0,CAuroraTXI,.?AVCAuroraTXI@@
0x009B9598,0x009C0960,0,CAuroraTexture,.?AVCAuroraTexture@@
0x009B95B8,0x009C0A88,0,CAuroraVisibility,.?AVCAuroraVisibility@@
0x009923C4,0x009BBB38,0,CBaseExoApp,.?AVCBaseExoApp@@
0x00986D1C,0x009B9C88,0,CCallbackBase,.?AVCCallbackBase@@
0x0099D684,0x009BD190,0,CClientExoApp,.?AVCClientExoApp@@
0x0099C6FC,0x009BCEEC,0,CExoEncapsulatedFile,.?AVCExoEncapsulatedFile@@
0x0099CAB8,0x009BD148,0,CExoInput,.?AVCExoInput@@
0x0099C7EC,0x009BD064,0,CExoInputEventDesc,.?AVCExoInputEventDesc@@
0x0099C7E0,0x009BD0AC,0,CExoInputEventDescDetailed,.?AVCExoInputEventDescDetailed@@
0x0099C7D4,0x009BD01C,0,CExoInputInternal,.?AVCExoInputInternal@@
0x0099C7F8,0x009BD0F8,0,CExoInputeventDesc2ButtonAxis,.?AVCExoInputeventDesc2ButtonAxis@@
0x0099C66C,0x009BCE58,0,CExoPackedFile,.?AVCExoPackedFile@@
0x0099C6B4,0x009BCEA0,0,CExoResFile,.?AVCExoResFile@@
0x0099C744,0x009BCF38,0,CExoResourceImageFile,.?AVCExoResourceImageFile@@
0x0099C2C8,0x009BCB98,0,CExoSoundSource,.?AVCExoSoundSource@@
0x0099C378,0x009BCBE0,0,CExoSoundSourceInternal,.?AVCExoSoundSourceInternal@@
0x009924A4,0x009BBBCC,0,CGameEffectApplierRemover,.?AVCGameEffectApplierRemover@@
0x00992FCC,0x009BBE44,0,CGameObject,.?AVCGameObject@@
0x0099247C,0x009BBC60,0,CItemPropertyApplierRemover,.?AVCItemPropertyApplierRemover@@
0x009B96D4,0x009C0F80,0,CLIP,.?AVCLIP@@
0x0099C520,0x009BCD78,0,CLYT,.?AVCLYT@@
0x0099C388,0x009BCC74,0,CRes,.?AVCRes@@
0x0099C790,0x009BCF84,0,CRes2DA,.?AVCRes2DA@@
0x009B9670,0x009C0E54,0,CRes4PC,.?AVCRes4PC@@
0x00993978,0x009BBEB4,0,CResARE,.?AVCResARE@@
0x0099B4A0,0x009BC978,0,CResBWM,.?AVCResBWM@@
0x009B95F8,0x009C0CD8,0,CResDDS,.?AVCResDDS@@
0x0099C460,0x009BCC88,0,CResGFF,.?AVCResGFF@@
0x00994EAC,0x009BC118,0,CResIFO,.?AVCResIFO@@
0x009B9720,0x009C10AC,0,CResLIP,.?AVCResLIP@@
0x009B96BC,0x009C0F34,0,CResLTR,.?AVCResLTR@@
0x0099C7A8,0x009BCFD0,0,CResLYT,.?AVCResLYT@@
0x0099B488,0x009BC92C,0,CResMDL,.?AVCResMDL@@
0x009B9658,0x009C0E08,0,CResMDX,.?AVCResMDX@@
0x0099B6A0,0x009BCB4C,0,CResNCS,.?AVCResNCS@@
0x009B9610,0x009C0D24,0,CResPLT,.?AVCResPLT@@
0x009A9730,0x009BFFD0,0,CResSSF,.?AVCResSSF@@
0x009B96F0,0x009C1014,0,CResTGA,.?AVCResTGA@@
0x009B9708,0x009C1060,0,CResTPC,.?AVCResTPC@@
0x009B9640,0x009C0DBC,0,CResTXI,.?AVCResTXI@@
0x009B9628,0x009C0D70,0,CResVIS,.?AVCResVIS@@
0x0099C570,0x009BCE0C,0,CResWave,.?AVCResWave@@
0x00993040,0x009BBE58,0,CSWAmbientSound,.?AVCSWAmbientSound@@
0x009A486C,0x009BE7AC,0,CSWAnimBase,.?AVCSWAnimBase@@
0x00996874,0x009BC200,0,CSWArea,.?AVCSWArea@@
0x009A6638,0x009BEE6C,0,CSWBehaviorAttachSound,.?AVCSWBehaviorAttachSound@@
0x009A1F94,0x009BDB80,0,CSWBehaviorCamera,.?AVCSWBehaviorCamera@@
0x009A9050,0x009BFD04,0,CSWBehaviorCameraCombat,.?AVCSWBehaviorCameraCombat@@
0x009A8438,0x009BF94C,0,CSWBehaviorCameraDialog,.?AVCSWBehaviorCameraDialog@@
0x009A64FC,0x009BEDD0,0,CSWCAmbientSound,.?AVCSWCAmbientSound@@
0x009A454C,0x009BE698,0,CSWCAnimBase,.?AVCSWCAnimBase@@
0x009A985C,0x009C006C,0,CSWCAnimBaseDoor,.?AVCSWCAnimBaseDoor@@
0x009A4AD4,0x009BE984,80,CSWCAnimBaseHead,.?AVCSWCAnimBaseHead@@
0x009A4874,0x009BE7C0,8,CSWCAnimBaseHeadWield,.?AVCSWCAnimBaseHeadWield@@
0x009A940C,0x009BFF30,0,CSWCAnimBasePlaceable,.?AVCSWCAnimBasePlaceable@@
0x009AA03C,0x009C02A4,0,CSWCAnimBaseProjectile,.?AVCSWCAnimBaseProjectile@@
0x009A4BDC,0x009BE998,0,CSWCAnimBaseTW,.?AVCSWCAnimBaseTW@@
0x009A99C4,0x009C00BC,0,CSWCAnimBaseTrigger,.?AVCSWCAnimBaseTrigger@@
0x009A974C,0x009C001C,0,CSWCAnimBaseVisualEffect,.?AVCSWCAnimBaseVisualEffect@@
0x009A4994,0x009BE970,92,CSWCAnimBaseWield,.?AVCSWCAnimBaseWield@@
0x0099FBE0,0x009BD780,0,CSWCArea,.?AVCSWCArea@@
0x0099FB6C,0x009BD7EC,260,CSWCArea,.?AVCSWCArea@@
0x009A921C,0x009BFDA0,0,CSWCAreaOfEffectObject,.?AVCSWCAreaOfEffectObject@@
0x0099EE14,0x009BD6AC,0,CSWCCreature,.?AVCSWCCreature@@
0x009A3948,0x009BE274,0,CSWCCreatureStats,.?AVCSWCCreatureStats@@
0x009A54FC,0x009BE9FC,0,CSWCDoor,.?AVCSWCDoor@@
0x009A2748,0x009BDE10,0,CSWCItem,.?AVCSWCItem@@
0x009A25FC,0x009BDE80,16,CSWCItem,.?AVCSWCItem@@
0x009A3950,0x009BE2BC,0,CSWCLevelUpStats,.?AVCSWCLevelUpStats@@
0x009A6664,0x009BEEBC,0,CSWCMapPin,.?AVCSWCMapPin@@
0x009A2958,0x009BDF30,0,CSWCMessage,.?AVCSWCMessage@@
0x009A23A4,0x009BDD1C,0,CSWCModule,.?AVCSWCModule@@
0x009A222C,0x009BDD08,0,CSWCObject,.?AVCSWCObject@@
0x009A37B4,0x009BE224,0,CSWCPlaceable,.?AVCSWCPlaceable@@
0x009A2B84,0x009BDF7C,0,CSWCPlayer,.?AVCSWCPlayer@@
0x009A907C,0x009BFD50,0,CSWCProjectile,.?AVCSWCProjectile@@
0x009A2930,0x009BDEE4,0,CSWCRoom,.?AVCSWCRoom@@
0x009A27E4,0x009BDE94,0,CSWCSoundObject,.?AVCSWCSoundObject@@
0x009A565C,0x009BEA4C,0,CSWCTrigger,.?AVCSWCTrigger@@
0x009A4CEC,0x009BE9AC,0,CSWCVisualEffect,.?AVCSWCVisualEffect@@
0x009A2098,0x009BDC6C,0,CSWCameraDeath,.?AVCSWCameraDeath@@
0x009A2034,0x009BDC1C,0,CSWCameraFreeLook,.?AVCSWCameraFreeLook@@
0x009A211C,0x009BDCBC,0,CSWCameraNavigate,.?AVCSWCameraNavigate@@
0x009A1F70,0x009BDBCC,0,CSWCameraOnAStick,.?AVCSWCameraOnAStick@@
0x00996980,0x009BC260,0,CSWCollisionMesh,.?AVCSWCollisionMesh@@
0x009A5844,0x009BEAEC,0,CSWDemoScreen,.?AVCSWDemoScreen@@
0x0099B4C4,0x009BC9C4,0,CSWDoorSurfaceMesh,.?AVCSWDoorSurfaceMesh@@
0x009A3D34,0x009BE3B0,0,CSWGui3DSceneView,.?AVCSWGui3DSceneView@@
0x009AA924,0x009C0484,0,CSWGuiAbilitiesCharGen,.?AVCSWGuiAbilitiesCharGen@@
0x009A5CFC,0x009BEBDC,0,CSWGuiActivatedButton,.?AVCSWGuiActivatedButton@@
0x009A80EC,0x009BF768,0,CSWGuiBarkBubble,.?AVCSWGuiBarkBubble@@
0x0099E09C,0x009BD3C8,0,CSWGuiBlackenedLabel,.?AVCSWGuiBlackenedLabel@@
0x009875BC,0x009B9E60,0,CSWGuiBorder,.?AVCSWGuiBorder@@
0x00987A1C,0x009BA164,0,CSWGuiButton,.?AVCSWGuiButton@@
0x0098796C,0x009BA0CC,0,CSWGuiButtonToggle,.?AVCSWGuiButtonToggle@@
0x0099DDB4,0x009BD31C,0,CSWGuiCharButton,.?AVCSWGuiCharButton@@
0x009A9B6C,0x009C010C,0,CSWGuiClassSelection,.?AVCSWGuiClassSelection@@
0x009A77E4,0x009BF390,0,CSWGuiContainer,.?AVCSWGuiContainer@@
0x009877D4,0x009BA068,0,CSWGuiControl,.?AVCSWGuiControl@@
0x009A04DC,0x009BD850,0,CSWGuiControllerLossBox,.?AVCSWGuiControllerLossBox@@
0x009A8B4C,0x009BFAE0,0,CSWGuiCreateItem,.?AVCSWGuiCreateItem@@
0x009A83C4,0x009BF8FC,0,CSWGuiCreateItemMenu,.?AVCSWGuiCreateItemMenu@@
0x009A820C,0x009BF80C,0,CSWGuiCreateItemSubMenu,.?AVCSWGuiCreateItemSubMenu@@
0x009A8CBC,0x009BFB30,0,CSWGuiCreateMedicalItem,.?AVCSWGuiCreateMedicalItem@@
0x009AA9A4,0x009C04D4,0,CSWGuiCustomPanel,.?AVCSWGuiCustomPanel@@
0x0099EAE4,0x009BD604,0,CSWGuiDeathDisplay,.?AVCSWGuiDeathDisplay@@
0x009A7C24,0x009BF57C,0,CSWGuiDialog,.?AVCSWGuiDialog@@
0x009A7DCC,0x009BF66C,0,CSWGuiDialogCinematic,.?AVCSWGuiDialogCinematic@@
0x009A7F3C,0x009BF6C0,0,CSWGuiDialogComputer,.?AVCSWGuiDialogComputer@@
0x009A803C,0x009BF714,0,CSWGuiDialogComputerCamera,.?AVCSWGuiDialogComputerCamera@@
0x009A7CBC,0x009BF5CC,0,CSWGuiDialogLetterbox,.?AVCSWGuiDialogLetterbox@@
0x009A7D3C,0x009BF61C,0,CSWGuiDialogTop,.?AVCSWGuiDialogTop@@
0x009875D4,0x009B9E18,0,CSWGuiDrawable,.?AVCSWGuiDrawable@@
0x009876E4,0x009B9F44,0,CSWGuiEditText,.?AVCSWGuiEditText@@
0x00987F14,0x009BA314,0,CSWGuiEditbox,.?AVCSWGuiEditbox@@
0x009A8164,0x009BF7B8,0,CSWGuiExamine,.?AVCSWGuiExamine@@
0x009A044C,0x009BD800,0,CSWGuiFade,.?AVCSWGuiFade@@
0x009AA434,0x009C03E4,0,CSWGuiFeatsCharGen,.?AVCSWGuiFeatsCharGen@@
0x0099DFF4,0x009BD41C,0,CSWGuiFloatyText,.?AVCSWGuiFloatyText@@
0x0098764C,0x009B9EAC,0,CSWGuiImage,.?AVCSWGuiImage@@
0x009A714C,0x009BF244,0,CSWGuiInGameAbilities,.?AVCSWGuiInGameAbilities@@
0x009A7A74,0x009BF488,0,CSWGuiInGameAreaTransition,.?AVCSWGuiInGameAreaTransition@@
0x009A8FCC,0x009BFC20,0,CSWGuiInGameAutoPause,.?AVCSWGuiInGameAutoPause@@
0x009A3E7C,0x009BE308,0,CSWGuiInGameCharacter,.?AVCSWGuiInGameCharacter@@
0x009A65C4,0x009BEE1C,0,CSWGuiInGameCredits,.?AVCSWGuiInGameCredits@@
0x009A7624,0x009BF2E4,0,CSWGuiInGameEquip,.?AVCSWGuiInGameEquip@@
0x009A69B4,0x009BEFAC,0,CSWGuiInGameGalaxyMap,.?AVCSWGuiInGameGalaxyMap@@
0x009A8EE4,0x009BFBD0,0,CSWGuiInGameGameplay,.?AVCSWGuiInGameGameplay@@
0x009A72AC,0x009BF294,0,CSWGuiInGameInventory,.?AVCSWGuiInGameInventory@@
0x009A76C4,0x009BF334,0,CSWGuiInGameItemEntry,.?AVCSWGuiInGameItemEntry@@
0x009A24DC,0x009BDD68,0,CSWGuiInGameJournal,.?AVCSWGuiInGameJournal@@
0x009A67EC,0x009BEF0C,0,CSWGuiInGameMap,.?AVCSWGuiInGameMap@@
0x0099E454,0x009BD474,0,CSWGuiInGameMenu,.?AVCSWGuiInGameMenu@@
0x0099E5EC,0x009BD4C4,0,CSWGuiInGameMessages,.?AVCSWGuiInGameMessages@@
0x009A9EA4,0x009C01FC,0,CSWGuiInGameOptKeyMappings,.?AVCSWGuiInGameOptKeyMappings@@
0x009A701C,0x009BF1F4,0,CSWGuiInGameOptions,.?AVCSWGuiInGameOptions@@
0x009A7BAC,0x009BF52C,0,CSWGuiInGamePause,.?AVCSWGuiInGamePause@@
0x009A6CEC,0x009BF0F0,0,CSWGuiInGameSkillEntry,.?AVCSWGuiInGameSkillEntry@@
0x009A7AEC,0x009BF4D8,0,CSWGuiInGameSoloModeQuery,.?AVCSWGuiInGameSoloModeQuery@@
0x009A2554,0x009BDDB8,0,CSWGuiJournalItemEntry,.?AVCSWGuiJournalItemEntry@@
0x009A9F54,0x009C024C,0,CSWGuiKeyMapButton,.?AVCSWGuiKeyMapButton@@
0x009878BC,0x009BA07C,0,CSWGuiLabel,.?AVCSWGuiLabel@@
0x00987E2C,0x009BA2C0,0,CSWGuiLabelHilight,.?AVCSWGuiLabelHilight@@
0x009A57B4,0x009BEA9C,0,CSWGuiLegalScreen,.?AVCSWGuiLegalScreen@@
0x009A96BC,0x009BFF80,0,CSWGuiLevelUpCharGen,.?AVCSWGuiLevelUpCharGen@@
0x009AA1AC,0x009C02F4,0,CSWGuiLevelUpPanel,.?AVCSWGuiLevelUpPanel@@
0x00987D3C,0x009BA26C,0,CSWGuiListBox,.?AVCSWGuiListBox@@
0x009A833C,0x009BF8AC,0,CSWGuiLoadModuleDebugMenu,.?AVCSWGuiLoadModuleDebugMenu@@
0x009A5C84,0x009BEB8C,0,CSWGuiLoadScreen,.?AVCSWGuiLoadScreen@@
0x009AA224,0x009C0344,0,CSWGuiMainCharGen,.?AVCSWGuiMainCharGen@@
0x0099DCC4,0x009BD1DC,0,CSWGuiMainInterface,.?AVCSWGuiMainInterface@@
0x0099DD3C,0x009BD2CC,0,CSWGuiMainInterface::CSWGamepadMenuIos,.?AVCSWGamepadMenuIos@CSWGuiMainInterface@@
0x0099DC4C,0x009BD22C,0,CSWGuiMainInterface::CSWGuiActionMenuIos,.?AVCSWGuiActionMenuIos@CSWGuiMainInterface@@
0x0099DBD4,0x009BD27C,0,CSWGuiMainInterface::CSWGuiHelpPanel,.?AVCSWGuiHelpPanel@CSWGuiMainInterface@@
0x009A597C,0x009BEB3C,0,CSWGuiMainMenu,.?AVCSWGuiMainMenu@@
0x009A68B4,0x009BEF5C,0,CSWGuiMapHider,.?AVCSWGuiMapHider@@
0x0099E6A4,0x009BD514,0,CSWGuiMessageBox,.?AVCSWGuiMessageBox@@
0x009AAC4C,0x009C0614,0,CSWGuiNameChargen,.?AVCSWGuiNameChargen@@
0x00987734,0x009B9FE0,0,CSWGuiNavigable,.?AVCSWGuiNavigable@@
0x00987410,0x009B9D84,0,CSWGuiObject,.?AVCSWGuiObject@@
0x009A1954,0x009BD944,0,CSWGuiOptionsCheckbox,.?AVCSWGuiOptionsCheckbox@@
0x009A18DC,0x009BD8F4,0,CSWGuiOptionsFeedback,.?AVCSWGuiOptionsFeedback@@
0x009A1A9C,0x009BD9A0,0,CSWGuiOptionsGraphics,.?AVCSWGuiOptionsGraphics@@
0x009A1BF4,0x009BD9F0,0,CSWGuiOptionsGraphicsAdvanced,.?AVCSWGuiOptionsGraphicsAdvanced@@
0x009A183C,0x009BD8A4,0,CSWGuiOptionsMain,.?AVCSWGuiOptionsMain@@
0x009A1EFC,0x009BDB30,0,CSWGuiOptionsMouse,.?AVCSWGuiOptionsMouse@@
0x009A1CBC,0x009BDA40,0,CSWGuiOptionsResolution,.?AVCSWGuiOptionsResolution@@
0x009A1D8C,0x009BDA90,0,CSWGuiOptionsSound,.?AVCSWGuiOptionsSound@@
0x009A1E4C,0x009BDAE0,0,CSWGuiOptionsSoundAdvanced,.?AVCSWGuiOptionsSoundAdvanced@@
0x0098739C,0x009B9DCC,0,CSWGuiPanel,.?AVCSWGuiPanel@@
0x009A6EE4,0x009BF1A4,0,CSWGuiPartySelection,.?AVCSWGuiPartySelection@@
0x009A6D9C,0x009BF148,0,CSWGuiPartySelectionButton,.?AVCSWGuiPartySelectionButton@@
0x009A5DA4,0x009BEC34,0,CSWGuiPazaakCard,.?AVCSWGuiPazaakCard@@
0x009A6404,0x009BED80,0,CSWGuiPazaakGame,.?AVCSWGuiPazaakGame@@
0x009A614C,0x009BED30,0,CSWGuiPazaakStart,.?AVCSWGuiPazaakStart@@
0x009AABA4,0x009C05C4,0,CSWGuiPortraitCharGen,.?AVCSWGuiPortraitCharGen@@
0x009A829C,0x009BF85C,0,CSWGuiPowersFeatsSkillsDebugMenu,.?AVCSWGuiPowersFeatsSkillsDebugMenu@@
0x009AA34C,0x009C0394,0,CSWGuiPowersLevelUp,.?AVCSWGuiPowersLevelUp@@
0x00987BB4,0x009BA1CC,0,CSWGuiProgressBar,.?AVCSWGuiProgressBar@@
0x0099DE5C,0x009BD374,0,CSWGuiProgressBarReveal,.?AVCSWGuiProgressBarReveal@@
0x009AAAC4,0x009C0574,0,CSWGuiQuickOrCustomPanel,.?AVCSWGuiQuickOrCustomPanel@@
0x009AAA24,0x009C0524,0,CSWGuiQuickPanel,.?AVCSWGuiQuickPanel@@
0x009A40FC,0x009BE4A8,0,CSWGuiRadioButton,.?AVCSWGuiRadioButton@@
0x009A421C,0x009BE5AC,0,CSWGuiSaveGameEditBox,.?AVCSWGuiSaveGameEditBox@@
0x009A3FBC,0x009BE458,0,CSWGuiSaveLoad,.?AVCSWGuiSaveLoad@@
0x009A4054,0x009BE500,0,CSWGuiSaveLoadEntry,.?AVCSWGuiSaveLoadEntry@@
0x009A42C4,0x009BE55C,0,CSWGuiSaveNamePanel,.?AVCSWGuiSaveNamePanel@@
0x0098771C,0x009B9F94,0,CSWGuiScene,.?AVCSWGuiScene@@
0x00987C74,0x009BA21C,0,CSWGuiScrollBar,.?AVCSWGuiScrollBar@@
0x009A6BAC,0x009BF050,0,CSWGuiSkillFlow,.?AVCSWGuiSkillFlow@@
0x009A6C74,0x009BF0A0,0,CSWGuiSkillInfoBox,.?AVCSWGuiSkillInfoBox@@
0x009AA714,0x009C0434,0,CSWGuiSkillsCharGen,.?AVCSWGuiSkillsCharGen@@
0x00987AEC,0x009BA178,0,CSWGuiSlider,.?AVCSWGuiSlider@@
0x009A3DD4,0x009BE358,0,CSWGuiSliderReadOnly,.?AVCSWGuiSliderReadOnly@@
0x009A3C8C,0x009BE400,0,CSWGuiSpeedButton,.?AVCSWGuiSpeedButton@@
0x0099E96C,0x009BD564,0,CSWGuiStatusSummary,.?AVCSWGuiStatusSummary@@
0x009A79B4,0x009BF438,0,CSWGuiStore,.?AVCSWGuiStore@@
0x009A785C,0x009BF3E0,0,CSWGuiStoreItemEntry,.?AVCSWGuiStoreItemEntry@@
0x009A8DA4,0x009BFB80,0,CSWGuiSwoopUpgrade,.?AVCSWGuiSwoopUpgrade@@
0x009876B4,0x009B9EF8,0,CSWGuiText,.?AVCSWGuiText@@
0x009A9C34,0x009C015C,0,CSWGuiTitleMovies,.?AVCSWGuiTitleMovies@@
0x009A9D6C,0x009C01AC,0,CSWGuiTitleMusic,.?AVCSWGuiTitleMusic@@
0x0099EA2C,0x009BD5B4,0,CSWGuiToolTipPanel,.?AVCSWGuiToolTipPanel@@
0x009A5F4C,0x009BEC8C,0,CSWGuiTutorial,.?AVCSWGuiTutorial@@
0x009A6A5C,0x009BEFFC,0,CSWGuiTutorialBox,.?AVCSWGuiTutorialBox@@
0x009A88A4,0x009BFA38,0,CSWGuiUpgrade,.?AVCSWGuiUpgrade@@
0x009A876C,0x009BF9E8,0,CSWGuiUpgradeItemSelect,.?AVCSWGuiUpgradeItemSelect@@
0x009A86CC,0x009BF998,0,CSWGuiUpgradeSelection,.?AVCSWGuiUpgradeSelection@@
0x009A6034,0x009BECE0,0,CSWGuiWagerPopup,.?AVCSWGuiWagerPopup@@
0x0099A5C4,0x009BC8D0,0,CSWInventory,.?AVCSWInventory@@
0x0099A8A0,0x009BC918,0,CSWItem,.?AVCSWItem@@
0x009A93E4,0x009BFEE4,0,CSWMGBehaviorBullet,.?AVCSWMGBehaviorBullet@@
0x009A9368,0x009BFDF0,0,CSWMGBehaviorFire,.?AVCSWMGBehaviorFire@@
0x009A9394,0x009BFE40,0,CSWMGBehaviorTrack,.?AVCSWMGBehaviorTrack@@
0x009A93BC,0x009BFE90,0,CSWMGBehaviorTrackAndFire,.?AVCSWMGBehaviorTrackAndFire@@
0x009A3760,0x009BE190,0,CSWMGGunBank,.?AVCSWMGGunBank@@
0x009A34A0,0x009BE0A8,0,CSWMGObstacle,.?AVCSWMGObstacle@@
0x009A37A4,0x009BE1D8,0,CSWMGTargettingGunBank,.?AVCSWMGTargettingGunBank@@
0x009967A8,0x009BC1B8,0,CSWMessage,.?AVCSWMessage@@
0x009A3534,0x009BE140,0,CSWMiniEnemy,.?AVCSWMiniEnemy@@
0x009A34E8,0x009BE0F4,0,CSWMiniGame,.?AVCSWMiniGame@@
0x009A2FD4,0x009BDFC4,0,CSWMiniGameObject,.?AVCSWMiniGameObject@@
0x009A325C,0x009BE058,0,CSWMiniPlayer,.?AVCSWMiniPlayer@@
0x009B9688,0x009C0EA0,0,CSWNameGen,.?AVCSWNameGen@@
0x0099B54C,0x009BCA10,0,CSWPlaceableSurfaceMesh,.?AVCSWPlaceableSurfaceMesh@@
0x009A47E4,0x009BE718,0,CSWPlayerControl,.?AVCSWPlayerControl@@
0x009A4818,0x009BE760,0,CSWPlayerControlCamRelative,.?AVCSWPlayerControlCamRelative@@
0x009A9040,0x009BFC70,0,CSWRK4Acceleration,.?AVCSWRK4Acceleration@@
